branch	tip	committerdate_iso	author	merged	ahead	patch_unique	files_changed	insertions	deletions	class	subject
contrib/dave-gaming-pc/codex/pass65-hud-modernize	328aa5f6	2026-07-27T10:56:50+01:00	Dave Hatton	no	2	1	15	1073	38	OLDER_UNMERGED	feat(countdown): strengthen bounded deployment cues
contrib/dave-gaming-pc/codex/pass65-integration	7c57f0bc	2026-07-29T18:41:08+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	fix(pass65): harden cold WebGL2 match admission
contrib/dave-gaming-pc/codex/pass65-killstreak-blockers	2d52aeae	2026-07-26T11:41:27+01:00	Dave Hatton	no	1	0	14	1293	98	SUPERSEDED	feat(pass65): close killstreak authority blockers
contrib/dave-gaming-pc/codex/pass65-killstreak-catalog-authority	1d6f3be3	2026-07-26T08:54:45+01:00	Dave Hatton	no	1	0	13	928	159	SUPERSEDED	feat(pass65): establish killstreak catalog authority
contrib/dave-gaming-pc/codex/pass65-killstreak-runtime	505ec150	2026-07-26T10:11:47+01:00	Dave Hatton	no	1	1	21	2781	138	OLDER_UNMERGED	feat: implement Pass 65 killstreak authority
contrib/dave-gaming-pc/codex/pass65-ladder-fix	1338ecac	2026-07-29T14:27:56+01:00	Dave Hatton	no	1	0	9	247	58	SUPERSEDED	fix(killstreaks): bank repeatable ladder charges
contrib/dave-gaming-pc/codex/pass65-menu-lifecycle	3d5d3a1d	2026-07-26T08:28:21+01:00	Dave Hatton	no	1	0	9	836	63	SUPERSEDED	feat: harden active-match menu lifecycle
contrib/dave-gaming-pc/codex/pass65-menu-lifecycle-v2	81fb0ab1	2026-07-26T19:55:28+01:00	Dave Hatton	no	1	1	4	434	20	OLDER_UNMERGED	fix(pass65): harden active match menu lifecycle
contrib/dave-gaming-pc/codex/pass65-menu-lifecycle-v3	a6088412	2026-07-26T20:23:01+01:00	Dave Hatton	no	1	0	9	621	104	SUPERSEDED	fix(pass65): harden active match menu lifecycle
contrib/dave-gaming-pc/codex/pass65-obb-collision	fbcbdc0f	2026-07-26T10:50:13+01:00	Dave Hatton	no	1	1	3	440	53	OLDER_UNMERGED	fix(collision): honor oriented dynamic world boxes
contrib/dave-gaming-pc/codex/pass65-observer-effect-fix	ae72bdb2	2026-07-29T18:36:13+01:00	Dave Hatton	no	3	0	21	3366	71	SUPERSEDED	fix(pass65): harden cold WebGL2 match admission
contrib/dave-gaming-pc/codex/pass65-operator-visual-gate	c62cd6a0	2026-07-27T01:09:14+01:00	Dave Hatton	no	1	1	38	2188	95	OLDER_UNMERGED	feat(pass65): forge gated third-person operator family
contrib/dave-gaming-pc/codex/pass65-owner-native-gates	a9fd5e33	2026-07-29T13:47:46+01:00	Dave Hatton	no	1	0	3	130	26	SUPERSEDED	test(pass65): require native stability evidence
contrib/dave-gaming-pc/codex/pass65-p0	6331400a	2026-07-26T00:42:49+01:00	Dave Hatton	yes	0	0	0	0	0	MERGED	docs(pass65): make reward eligibility enumerable
contrib/dave-gaming-pc/codex/pass65-presentation-audio-blockers	4189aee3	2026-07-26T10:50:48+01:00	Dave Hatton	no	1	1	20	1412	46	OLDER_UNMERGED	feat(pass65): finish presentation and audio blockers
contrib/dave-gaming-pc/codex/pass65-preview-choreography	addb62c5	2026-07-27T09:20:39+01:00	Dave Hatton	no	1	1	36	2044	590	OLDER_UNMERGED	feat(pass65): forge prerecorded menu preview family
contrib/dave-gaming-pc/codex/pass65-preview-motion	2b32c972	2026-07-26T03:42:39+01:00	Dave Hatton	no	1	0	8	879	96	SUPERSEDED	feat(menu): choreograph Pass 65 preview flights
contrib/dave-gaming-pc/codex/pass65-preview-video	48dcb9cb	2026-07-26T19:37:17+01:00	Dave Hatton	no	1	1	29	1495	394	OLDER_UNMERGED	feat: stream prerecorded map menu previews
contrib/dave-gaming-pc/codex/pass65-production-vehicles	5f4d7715	2026-07-27T00:34:53+01:00	Dave Hatton	no	1	1	64	4186	117	OLDER_UNMERGED	feat(support): ship authored Pass 65 vehicle family
contrib/dave-gaming-pc/codex/pass65-railgun-authoritative-visual	bec7fd73	2026-07-26T21:19:12+01:00	Dave Hatton	no	1	0	9	294	51	SUPERSEDED	fix(railgun): bind replicated beam to authority
contrib/dave-gaming-pc/codex/pass65-railgun-multihit	734ee1c1	2026-07-29T09:57:30+01:00	Dave Hatton	no	2	0	14	1442	123	SUPERSEDED	fix(railgun): close protocol and observer identity gaps
contrib/dave-gaming-pc/codex/pass65-semtex-streaks	1133117c	2026-07-26T19:32:29+01:00	Dave Hatton	no	1	0	51	1747	207	SUPERSEDED	feat: author semtex and unify support platforms
contrib/dave-gaming-pc/codex/pass65-sensory-audio-settings-v2	97742072	2026-07-26T10:05:07+01:00	Dave Hatton	no	1	1	21	1760	153	OLDER_UNMERGED	feat(pass65): integrate sensory audio and settings
contrib/dave-gaming-pc/codex/pass65-sensory-settings	de9208da	2026-07-26T01:36:47+01:00	Dave Hatton	no	2	0	2	1429	0	SUPERSEDED	fix(audio): harden sound event inventory contracts
contrib/dave-gaming-pc/codex/pass65-shed-release-blockers	c307ecb9	2026-07-26T11:59:06+01:00	Dave Hatton	no	1	1	9	648	45	OLDER_UNMERGED	fix(pass65): complete shed damage presentation
contrib/dave-gaming-pc/codex/pass65-skill-evidence-presentation	05dd2bcd	2026-07-26T03:12:31+01:00	Dave Hatton	no	5	0	107	5831	0	SUPERSEDED	fix(skills): bind evidence to semantic identity
contrib/dave-gaming-pc/codex/pass65-skill-world-support	770c0e6c	2026-07-26T02:39:12+01:00	Dave Hatton	no	3	0	44	2523	0	SUPERSEDED	Strengthen Pass 65 world and support skill contracts
contrib/dave-gaming-pc/codex/pass65-smoke-authority	f5c7d68f	2026-07-27T00:13:02+01:00	Dave Hatton	no	1	0	10	1052	55	SUPERSEDED	feat: replicate authoritative smoke corridors
contrib/dave-gaming-pc/codex/pass65-spec-redteam-fix	a46ec149	2026-07-27T10:05:36+01:00	Dave Hatton	no	4	0	25	1390	293	SUPERSEDED	refactor(killstreak): centralize reward authority
contrib/dave-gaming-pc/codex/pass65-support-authority-reconcile	f2ff7d82	2026-07-26T23:43:07+01:00	Dave Hatton	no	1	0	9	268	106	SUPERSEDED	fix(pass65): unify offensive support authority
contrib/dave-gaming-pc/codex/pass65-support-redteam	701204d7	2026-07-27T11:25:25+01:00	Dave Hatton	no	1	0	5	355	21	SUPERSEDED	fix(killstreak): close support terminal lifecycles
contrib/dave-gaming-pc/codex/pass65-support-visual-gate	187f5692	2026-07-26T21:38:55+01:00	Dave Hatton	no	1	0	14	1051	59	SUPERSEDED	feat(pass65): harden support targeting feedback
contrib/dave-gaming-pc/codex/pass65-targeting-markers-railgun	4f4c94d2	2026-07-27T02:18:56+01:00	Dave Hatton	no	1	0	12	347	50	SUPERSEDED	feat(pass65): harden support markers and railgun visuals
contrib/dave-gaming-pc/codex/pass65-text-integrity-guard	52602a10	2026-07-29T14:22:34+01:00	Dave Hatton	no	1	0	3	81	5	SUPERSEDED	test(repo): reject corrupted tracked text
contrib/dave-gaming-pc/codex/pass65-uv-warning-trace	bac3e2c4	2026-07-29T09:32:43+01:00	Dave Hatton	no	1	0	2	15	0	SUPERSEDED	fix(webgpu): provide impact particle UVs
